Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2000,"May 29, 2000",Regular season,Houston Comets,New York Liberty,Compaq Center,Houston,TX,16285,2000-05-29,16285
2000,"May 31, 2000",Regular season,Washington Mystics,Orlando Miracle,Verizon Center,Washington,DC,14421,2000-05-31,14421
2000,"May 31, 2000",Regular season,Minnesota Lynx,Cleveland Rockers,Target Center,Minneapolis,MN,6948,2000-05-31,6948
2000,"May 31, 2000",Regular season,Phoenix Mercury,New York Liberty,US Airways Center,Phoenix,AZ,10540,2000-05-31,10540
2000,"May 31, 2000",Regular season,Sacramento Monarchs,Seattle Storm,ARCO Arena,Sacramento,CA,9103,2000-05-31,9103
2000,"May 31, 2000",Regular season,Portland Fire,Houston Comets,Moda Center,Portland,OR,10277,2000-05-31,10277
2000,"May 31, 2000",Regular season,Los Angeles Sparks,Utah Starzz,Great Western Forum,Los Angeles,CA,6112,2000-05-31,6112
2000,"June 1, 2000",Regular season,Orlando Miracle,Charlotte Sting,Amway Arena,Orlando,FL,6890,2000-06-01,6890
2000,"June 1, 2000",Regular season,Miami Sol,Indiana Fever,AmericanAirlines Arena,Miami,FL,11212,2000-06-01,11212
2000,"June 1, 2000",Regular season,Utah Starzz,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,6488,2000-06-01,6488
2000,"June 1, 2000",Regular season,Seattle Storm,Houston Comets,KeyArena,Seattle,WA,10840,2000-06-01,10840
2000,"June 3, 2000",Regular season,New York Liberty,Utah Starzz,Madison Square Garden,New York,NY,17531,2000-06-03,17531
2000,"June 3, 2000",Regular season,Cleveland Rockers,Washington Mystics,Quicken Loans Arena,Cleveland,OH,10032,2000-06-03,10032
2000,"June 3, 2000",Regular season,Indiana Fever,Orlando Miracle,Conseco Fieldhouse,Indianapolis,IN,12575,2000-06-03,12575
2000,"June 3, 2000",Regular season,Houston Comets,Phoenix Mercury,Compaq Center,Houston,TX,12385,2000-06-03,12385
2000,"June 3, 2000",Regular season,Charlotte Sting,Miami Sol,Time Warner Cable Arena,Charlotte,NC,6632,2000-06-03,6632
2000,"June 3, 2000",Regular season,Detroit Shock,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,9835,2000-06-03,9835
2000,"June 3, 2000",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,9381,2000-06-03,9381
2000,"June 3, 2000",Regular season,Seattle Storm,Portland Fire,KeyArena,Seattle,WA,10182,2000-06-03,10182
2000,"June 4, 2000",Regular season,Washington Mystics,New York Liberty,Verizon Center,Washington,DC,15329,2000-06-04,15329
2000,"June 5, 2000",Regular season,Charlotte Sting,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,3410,2000-06-05,3410
2000,"June 5, 2000",Regular season,Orlando Miracle,Sacramento Monarchs,Amway Arena,Orlando,FL,7043,2000-06-05,7043
2000,"June 5, 2000",Regular season,Indiana Fever,Miami Sol,Conseco Fieldhouse,Indianapolis,IN,9505,2000-06-05,9505
2000,"June 5, 2000",Regular season,Minnesota Lynx,Detroit Shock,Target Center,Minneapolis,MN,5816,2000-06-05,5816
2000,"June 6, 2000",Regular season,Houston Comets,Sacramento Monarchs,Compaq Center,Houston,TX,10209,2000-06-06,10209
2000,"June 6, 2000",Regular season,Utah Starzz,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,4520,2000-06-06,4520
2000,"June 6, 2000",Regular season,Los Angeles Sparks,Portland Fire,Great Western Forum,Los Angeles,CA,4639,2000-06-06,4639
2000,"June 7, 2000",Regular season,Washington Mystics,Houston Comets,Verizon Center,Washington,DC,15040,2000-06-07,15040
2000,"June 7, 2000",Regular season,Cleveland Rockers,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,4687,2000-06-07,4687
2000,"June 7, 2000",Regular season,Detroit Shock,New York Liberty,Palace of Auburn Hills,Detroit,MI,4788,2000-06-07,4788
2000,"June 7, 2000",Regular season,Phoenix Mercury,Seattle Storm,US Airways Center,Phoenix,AZ,9509,2000-06-07,9509
2000,"June 8, 2000",Regular season,Miami Sol,Washington Mystics,AmericanAirlines Arena,Miami,FL,7232,2000-06-08,7232
2000,"June 8, 2000",Regular season,Orlando Miracle,Minnesota Lynx,Amway Arena,Orlando,FL,5731,2000-06-08,5731
2000,"June 8, 2000",Regular season,Portland Fire,Utah Starzz,Moda Center,Portland,OR,8194,2000-06-08,8194
2000,"June 9, 2000",Regular season,New York Liberty,Sacramento Monarchs,Madison Square Garden,New York,NY,12800,2000-06-09,12800
2000,"June 9, 2000",Regular season,Charlotte Sting,Seattle Storm,Time Warner Cable Arena,Charlotte,NC,3946,2000-06-09,3946
2000,"June 9, 2000",Regular season,Detroit Shock,Indiana Fever,Palace of Auburn Hills,Detroit,MI,5013,2000-06-09,5013
2000,"June 10, 2000",Regular season,Los Angeles Sparks,Phoenix Mercury,Great Western Forum,Los Angeles,CA,6349,2000-06-10,6349
2000,"June 10, 2000",Regular season,Miami Sol,Minnesota Lynx,AmericanAirlines Arena,Miami,FL,7515,2000-06-10,7515
2000,"June 10, 2000",Regular season,Cleveland Rockers,Seattle Storm,Quicken Loans Arena,Cleveland,OH,5830,2000-06-10,5830
2000,"June 10, 2000",Regular season,Charlotte Sting,Orlando Miracle,Time Warner Cable Arena,Charlotte,NC,5003,2000-06-10,5003
2000,"June 10, 2000",Regular season,Indiana Fever,New York Liberty,Conseco Fieldhouse,Indianapolis,IN,11009,2000-06-10,11009
2000,"June 10, 2000",Regular season,Utah Starzz,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,6841,2000-06-10,6841
2000,"June 11, 2000",Regular season,Sacramento Monarchs,Los Angeles Sparks,ARCO Arena,Sacramento,CA,8160,2000-06-11,8160
2000,"June 12, 2000",Regular season,Detroit Shock,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,5135,2000-06-12,5135
2000,"June 12, 2000",Regular season,Indiana Fever,Cleveland Rockers,Conseco Fieldhouse,Indianapolis,IN,9006,2000-06-12,9006
2000,"June 12, 2000",Regular season,Houston Comets,Utah Starzz,Compaq Center,Houston,TX,10104,2000-06-12,10104
2000,"June 13, 2000",Regular season,Miami Sol,Detroit Shock,AmericanAirlines Arena,Miami,FL,7023,2000-06-13,7023
2000,"June 13, 2000",Regular season,New York Liberty,Washington Mystics,Madison Square Garden,New York,NY,11559,2000-06-13,11559
2000,"June 13, 2000",Regular season,Utah Starzz,Orlando Miracle,EnergySolutions Arena,Salt Lake City,UT,4394,2000-06-13,4394
2000,"June 13, 2000",Regular season,Portland Fire,Phoenix Mercury,Moda Center,Portland,OR,7738,2000-06-13,7738
2000,"June 13, 2000",Regular season,Seattle Storm,Los Angeles Sparks,KeyArena,Seattle,WA,7700,2000-06-13,7700
2000,"June 14, 2000",Regular season,Phoenix Mercury,Portland Fire,US Airways Center,Phoenix,AZ,9919,2000-06-14,9919
2000,"June 15, 2000",Regular season,Minnesota Lynx,Orlando Miracle,Target Center,Minneapolis,MN,7189,2000-06-15,7189
2000,"June 15, 2000",Regular season,Houston Comets,Miami Sol,Compaq Center,Houston,TX,10459,2000-06-15,10459
2000,"June 15, 2000",Regular season,Utah Starzz,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,4582,2000-06-15,4582
2000,"June 15, 2000",Regular season,Seattle Storm,Sacramento Monarchs,KeyArena,Seattle,WA,7656,2000-06-15,7656
2000,"June 16, 2000",Regular season,Cleveland Rockers,Detroit Shock,Quicken Loans Arena,Cleveland,OH,7989,2000-06-16,7989
2000,"June 17, 2000",Regular season,Sacramento Monarchs,Charlotte Sting,ARCO Arena,Sacramento,CA,8964,2000-06-17,8964
2000,"June 17, 2000",Regular season,Orlando Miracle,Indiana Fever,Amway Arena,Orlando,FL,7300,2000-06-17,7300
2000,"June 17, 2000",Regular season,Utah Starzz,Washington Mystics,EnergySolutions Arena,Salt Lake City,UT,6104,2000-06-17,6104
2000,"June 17, 2000",Regular season,Miami Sol,Cleveland Rockers,AmericanAirlines Arena,Miami,FL,7640,2000-06-17,7640
2000,"June 17, 2000",Regular season,Phoenix Mercury,Minnesota Lynx,US Airways Center,Phoenix,AZ,10498,2000-06-17,10498
2000,"June 17, 2000",Regular season,Portland Fire,Los Angeles Sparks,Moda Center,Portland,OR,8703,2000-06-17,8703
2000,"June 18, 2000",Regular season,Los Angeles Sparks,Charlotte Sting,Great Western Forum,Los Angeles,CA,4847,2000-06-18,4847
2000,"June 18, 2000",Regular season,Houston Comets,Minnesota Lynx,Compaq Center,Houston,TX,11315,2000-06-18,11315
2000,"June 18, 2000",Regular season,Detroit Shock,Indiana Fever,Palace of Auburn Hills,Detroit,MI,5108,2000-06-18,5108
2000,"June 18, 2000",Regular season,Seattle Storm,Utah Starzz,KeyArena,Seattle,WA,8492,2000-06-18,8492
2000,"June 18, 2000",Regular season,New York Liberty,Miami Sol,Madison Square Garden,New York,NY,11257,2000-06-18,11257
2000,"June 19, 2000",Regular season,Cleveland Rockers,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,5289,2000-06-19,5289
2000,"June 19, 2000",Regular season,Washington Mystics,Detroit Shock,Verizon Center,Washington,DC,11628,2000-06-19,11628
2000,"June 20, 2000",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,6461,2000-06-20,6461
2000,"June 20, 2000",Regular season,Utah Starzz,Seattle Storm,EnergySolutions Arena,Salt Lake City,UT,5376,2000-06-20,5376
2000,"June 20, 2000",Regular season,Los Angeles Sparks,Houston Comets,Great Western Forum,Los Angeles,CA,8371,2000-06-20,8371
2000,"June 20, 2000",Regular season,Portland Fire,Charlotte Sting,Moda Center,Portland,OR,6569,2000-06-20,6569
2000,"June 21, 2000",Regular season,Indiana Fever,Sacramento Monarchs,Conseco Fieldhouse,Indianapolis,IN,9638,2000-06-21,9638
2000,"June 21, 2000",Regular season,Washington Mystics,Miami Sol,Verizon Center,Washington,DC,11070,2000-06-21,11070
2000,"June 21, 2000",Regular season,New York Liberty,Detroit Shock,Madison Square Garden,New York,NY,12123,2000-06-21,12123
2000,"June 22, 2000",Regular season,Orlando Miracle,Cleveland Rockers,Amway Arena,Orlando,FL,6241,2000-06-22,6241
2000,"June 22, 2000",Regular season,Minnesota Lynx,Utah Starzz,Target Center,Minneapolis,MN,7128,2000-06-22,7128
2000,"June 22, 2000",Regular season,Charlotte Sting,Phoenix Mercury,Time Warner Cable Arena,Charlotte,NC,8425,2000-06-22,8425
2000,"June 23, 2000",Regular season,Miami Sol,Los Angeles Sparks,AmericanAirlines Arena,Miami,FL,8151,2000-06-23,8151
2000,"June 23, 2000",Regular season,Indiana Fever,New York Liberty,Conseco Fieldhouse,Indianapolis,IN,13178,2000-06-23,13178
2000,"June 23, 2000",Regular season,Washington Mystics,Sacramento Monarchs,Verizon Center,Washington,DC,14235,2000-06-23,14235
2000,"June 23, 2000",Regular season,Utah Starzz,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,6916,2000-06-23,6916
2000,"June 23, 2000",Regular season,Portland Fire,Seattle Storm,Moda Center,Portland,OR,9390,2000-06-23,9390
2000,"June 24, 2000",Regular season,Houston Comets,Indiana Fever,Compaq Center,Houston,TX,12152,2000-06-24,12152
2000,"June 24, 2000",Regular season,Detroit Shock,Washington Mystics,Palace of Auburn Hills,Detroit,MI,8266,2000-06-24,8266
2000,"June 24, 2000",Regular season,Miami Sol,Phoenix Mercury,AmericanAirlines Arena,Miami,FL,8005,2000-06-24,8005
2000,"June 24, 2000",Regular season,Cleveland Rockers,Minnesota Lynx,Quicken Loans Arena,Cleveland,OH,6655,2000-06-24,6655
2000,"June 24, 2000",Regular season,Orlando Miracle,Charlotte Sting,Amway Arena,Orlando,FL,6803,2000-06-24,6803
2000,"June 25, 2000",Regular season,Charlotte Sting,Detroit Shock,Time Warner Cable Arena,Charlotte,NC,3801,2000-06-25,3801
2000,"June 25, 2000",Regular season,Sacramento Monarchs,Portland Fire,ARCO Arena,Sacramento,CA,7127,2000-06-25,7127
2000,"June 25, 2000",Regular season,Cleveland Rockers,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,6707,2000-06-25,6707
2000,"June 25, 2000",Regular season,New York Liberty,Los Angeles Sparks,Madison Square Garden,New York,NY,14717,2000-06-25,14717
2000,"June 26, 2000",Regular season,Orlando Miracle,Houston Comets,Amway Arena,Orlando,FL,7427,2000-06-26,7427
2000,"June 26, 2000",Regular season,Utah Starzz,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,5275,2000-06-26,5275
2000,"June 26, 2000",Regular season,Washington Mystics,Los Angeles Sparks,Verizon Center,Washington,DC,16295,2000-06-26,16295
2000,"June 28, 2000",Regular season,Charlotte Sting,Houston Comets,Time Warner Cable Arena,Charlotte,NC,5402,2000-06-28,5402
2000,"June 28, 2000",Regular season,Orlando Miracle,Miami Sol,Amway Arena,Orlando,FL,5744,2000-06-28,5744
2000,"June 28, 2000",Regular season,Indiana Fever,Los Angeles Sparks,Conseco Fieldhouse,Indianapolis,IN,11697,2000-06-28,11697
2000,"June 28, 2000",Regular season,Sacramento Monarchs,Minnesota Lynx,ARCO Arena,Sacramento,CA,6479,2000-06-28,6479
2000,"June 28, 2000",Regular season,New York Liberty,Phoenix Mercury,Madison Square Garden,New York,NY,13054,2000-06-28,13054
2000,"June 28, 2000",Regular season,Portland Fire,Cleveland Rockers,Moda Center,Portland,OR,7014,2000-06-28,7014
2000,"June 28, 2000",Regular season,Seattle Storm,Detroit Shock,KeyArena,Seattle,WA,7929,2000-06-28,7929
2000,"June 30, 2000",Regular season,Houston Comets,Portland Fire,Compaq Center,Houston,TX,11543,2000-06-30,11543
2000,"June 30, 2000",Regular season,Miami Sol,Orlando Miracle,AmericanAirlines Arena,Miami,FL,9849,2000-06-30,9849
2000,"June 30, 2000",Regular season,Washington Mystics,Phoenix Mercury,Verizon Center,Washington,DC,16485,2000-06-30,16485
2000,"June 30, 2000",Regular season,Sacramento Monarchs,Utah Starzz,ARCO Arena,Sacramento,CA,6763,2000-06-30,6763
2000,"June 30, 2000",Regular season,Seattle Storm,Minnesota Lynx,KeyArena,Seattle,WA,9131,2000-06-30,9131
2000,"June 30, 2000",Regular season,New York Liberty,Indiana Fever,Madison Square Garden,New York,NY,11953,2000-06-30,11953
2000,"July 1, 2000",Regular season,Orlando Miracle,New York Liberty,Amway Arena,Orlando,FL,7339,2000-07-01,7339
2000,"July 1, 2000",Regular season,Indiana Fever,Miami Sol,Conseco Fieldhouse,Indianapolis,IN,9949,2000-07-01,9949
2000,"July 1, 2000",Regular season,Los Angeles Sparks,Cleveland Rockers,Great Western Forum,Los Angeles,CA,6828,2000-07-01,6828
2000,"July 1, 2000",Regular season,Sacramento Monarchs,Detroit Shock,ARCO Arena,Sacramento,CA,6965,2000-07-01,6965
2000,"July 1, 2000",Regular season,Charlotte Sting,Washington Mystics,Time Warner Cable Arena,Charlotte,NC,5509,2000-07-01,5509
2000,"July 1, 2000",Regular season,Seattle Storm,Utah Starzz,KeyArena,Seattle,WA,8260,2000-07-01,8260
2000,"July 2, 2000",Regular season,Los Angeles Sparks,Detroit Shock,Great Western Forum,Los Angeles,CA,5486,2000-07-02,5486
2000,"July 2, 2000",Regular season,Houston Comets,Phoenix Mercury,Compaq Center,Houston,TX,13865,2000-07-02,13865
2000,"July 2, 2000",Regular season,Minnesota Lynx,Portland Fire,Target Center,Minneapolis,MN,6661,2000-07-02,6661
2000,"July 3, 2000",Regular season,Cleveland Rockers,New York Liberty,Quicken Loans Arena,Cleveland,OH,9646,2000-07-03,9646
2000,"July 3, 2000",Regular season,Indiana Fever,Portland Fire,Conseco Fieldhouse,Indianapolis,IN,12060,2000-07-03,12060
2000,"July 3, 2000",Regular season,Seattle Storm,Washington Mystics,KeyArena,Seattle,WA,8446,2000-07-03,8446
2000,"July 5, 2000",Regular season,Charlotte Sting,Miami Sol,Time Warner Cable Arena,Charlotte,NC,3912,2000-07-05,3912
2000,"July 5, 2000",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,6264,2000-07-05,6264
2000,"July 5, 2000",Regular season,Sacramento Monarchs,Los Angeles Sparks,ARCO Arena,Sacramento,CA,6949,2000-07-05,6949
2000,"July 5, 2000",Regular season,New York Liberty,Portland Fire,Madison Square Garden,New York,NY,12693,2000-07-05,12693
2000,"July 6, 2000",Regular season,Houston Comets,Seattle Storm,Compaq Center,Houston,TX,10695,2000-07-06,10695
2000,"July 6, 2000",Regular season,Phoenix Mercury,Detroit Shock,US Airways Center,Phoenix,AZ,10497,2000-07-06,10497
2000,"July 6, 2000",Regular season,Orlando Miracle,Indiana Fever,Amway Arena,Orlando,FL,7081,2000-07-06,7081
2000,"July 6, 2000",Regular season,Los Angeles Sparks,Washington Mystics,Great Western Forum,Los Angeles,CA,5149,2000-07-06,5149
2000,"July 7, 2000",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7467,2000-07-07,7467
2000,"July 7, 2000",Regular season,Houston Comets,Charlotte Sting,Compaq Center,Houston,TX,12916,2000-07-07,12916
2000,"July 7, 2000",Regular season,Utah Starzz,Detroit Shock,EnergySolutions Arena,Salt Lake City,UT,7649,2000-07-07,7649
2000,"July 7, 2000",Regular season,Portland Fire,Sacramento Monarchs,Moda Center,Portland,OR,7703,2000-07-07,7703
2000,"July 7, 2000",Regular season,Miami Sol,Cleveland Rockers,AmericanAirlines Arena,Miami,FL,7153,2000-07-07,7153
2000,"July 8, 2000",Regular season,Sacramento Monarchs,Washington Mystics,ARCO Arena,Sacramento,CA,7816,2000-07-08,7816
2000,"July 8, 2000",Regular season,Charlotte Sting,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,5954,2000-07-08,5954
2000,"July 8, 2000",Regular season,Orlando Miracle,Seattle Storm,Amway Arena,Orlando,FL,8266,2000-07-08,8266
2000,"July 8, 2000",Regular season,Indiana Fever,Phoenix Mercury,Conseco Fieldhouse,Indianapolis,IN,11659,2000-07-08,11659
2000,"July 8, 2000",Regular season,New York Liberty,Miami Sol,Madison Square Garden,New York,NY,13124,2000-07-08,13124
2000,"July 9, 2000",Regular season,Minnesota Lynx,Houston Comets,Target Center,Minneapolis,MN,8440,2000-07-09,8440
2000,"July 9, 2000",Regular season,Los Angeles Sparks,Utah Starzz,Great Western Forum,Los Angeles,CA,6691,2000-07-09,6691
2000,"July 9, 2000",Regular season,Portland Fire,Washington Mystics,Moda Center,Portland,OR,8613,2000-07-09,8613
2000,"July 9, 2000",Regular season,Detroit Shock,Orlando Miracle,Palace of Auburn Hills,Detroit,MI,6214,2000-07-09,6214
2000,"July 10, 2000",Regular season,Cleveland Rockers,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,6039,2000-07-10,6039
2000,"July 10, 2000",Regular season,Miami Sol,Seattle Storm,AmericanAirlines Arena,Miami,FL,7041,2000-07-10,7041
2000,"July 11, 2000",Regular season,Phoenix Mercury,Minnesota Lynx,US Airways Center,Phoenix,AZ,9675,2000-07-11,9675
2000,"July 11, 2000",Regular season,Los Angeles Sparks,Portland Fire,Great Western Forum,Los Angeles,CA,4416,2000-07-11,4416
2000,"July 12, 2000",Regular season,Cleveland Rockers,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,6558,2000-07-12,6558
2000,"July 12, 2000",Regular season,Detroit Shock,Seattle Storm,Palace of Auburn Hills,Detroit,MI,9853,2000-07-12,9853
2000,"July 12, 2000",Regular season,Houston Comets,Sacramento Monarchs,Compaq Center,Houston,TX,11751,2000-07-12,11751
2000,"July 12, 2000",Regular season,Washington Mystics,Indiana Fever,Verizon Center,Washington,DC,11953,2000-07-12,11953
2000,"July 12, 2000",Regular season,Utah Starzz,Portland Fire,EnergySolutions Arena,Salt Lake City,UT,6131,2000-07-12,6131
2000,"July 12, 2000",Regular season,New York Liberty,Charlotte Sting,Madison Square Garden,New York,NY,14073,2000-07-12,14073
2000,"July 13, 2000",Regular season,Phoenix Mercury,Sacramento Monarchs,US Airways Center,Phoenix,AZ,9747,2000-07-13,9747
2000,"July 13, 2000",Regular season,Miami Sol,Washington Mystics,AmericanAirlines Arena,Miami,FL,7304,2000-07-13,7304
2000,"July 14, 2000",Regular season,Detroit Shock,Miami Sol,Palace of Auburn Hills,Detroit,MI,5398,2000-07-14,5398
2000,"July 14, 2000",Regular season,Indiana Fever,Seattle Storm,Conseco Fieldhouse,Indianapolis,IN,10920,2000-07-14,10920
2000,"July 14, 2000",Regular season,Utah Starzz,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,6984,2000-07-14,6984
2000,"July 14, 2000",Regular season,Los Angeles Sparks,Houston Comets,Great Western Forum,Los Angeles,CA,11378,2000-07-14,11378
2000,"July 14, 2000",Regular season,Portland Fire,Minnesota Lynx,Moda Center,Portland,OR,8155,2000-07-14,8155
2000,"July 14, 2000",Regular season,Orlando Miracle,New York Liberty,Amway Arena,Orlando,FL,8864,2000-07-14,8864
2000,"July 15, 2000",Regular season,Cleveland Rockers,Indiana Fever,Quicken Loans Arena,Cleveland,OH,9736,2000-07-15,9736
2000,"July 15, 2000",Regular season,Los Angeles Sparks,Minnesota Lynx,Great Western Forum,Los Angeles,CA,6071,2000-07-15,6071
2000,"July 15, 2000",Regular season,Washington Mystics,Charlotte Sting,Verizon Center,Washington,DC,18713,2000-07-15,18713
2000,"July 15, 2000",Regular season,Sacramento Monarchs,Utah Starzz,ARCO Arena,Sacramento,CA,8348,2000-07-15,8348
2000,"July 19, 2000",Regular season,Phoenix Mercury,Utah Starzz,US Airways Center,Phoenix,AZ,9327,2000-07-19,9327
2000,"July 19, 2000",Regular season,Miami Sol,Portland Fire,AmericanAirlines Arena,Miami,FL,6809,2000-07-19,6809
2000,"July 19, 2000",Regular season,Orlando Miracle,Detroit Shock,Amway Arena,Orlando,FL,9464,2000-07-19,9464
2000,"July 19, 2000",Regular season,Seattle Storm,New York Liberty,KeyArena,Seattle,WA,9395,2000-07-19,9395
2000,"July 20, 2000",Regular season,Cleveland Rockers,Houston Comets,Quicken Loans Arena,Cleveland,OH,12294,2000-07-20,12294
2000,"July 20, 2000",Regular season,Los Angeles Sparks,New York Liberty,Great Western Forum,Los Angeles,CA,7269,2000-07-20,7269
2000,"July 20, 2000",Regular season,Washington Mystics,Indiana Fever,Verizon Center,Washington,DC,19093,2000-07-20,19093
2000,"July 20, 2000",Regular season,Sacramento Monarchs,Minnesota Lynx,ARCO Arena,Sacramento,CA,6675,2000-07-20,6675
2000,"July 21, 2000",Regular season,Charlotte Sting,Portland Fire,Time Warner Cable Arena,Charlotte,NC,4974,2000-07-21,4974
2000,"July 21, 2000",Regular season,Detroit Shock,Houston Comets,Palace of Auburn Hills,Detroit,MI,10147,2000-07-21,10147
2000,"July 21, 2000",Regular season,Phoenix Mercury,Los Angeles Sparks,US Airways Center,Phoenix,AZ,11053,2000-07-21,11053
2000,"July 21, 2000",Regular season,Miami Sol,Utah Starzz,AmericanAirlines Arena,Miami,FL,7341,2000-07-21,7341
2000,"July 21, 2000",Regular season,Seattle Storm,Minnesota Lynx,KeyArena,Seattle,WA,9246,2000-07-21,9246
2000,"July 21, 2000",Regular season,Washington Mystics,Orlando Miracle,Verizon Center,Washington,DC,13382,2000-07-21,13382
2000,"July 22, 2000",Regular season,Indiana Fever,Charlotte Sting,Conseco Fieldhouse,Indianapolis,IN,12671,2000-07-22,12671
2000,"July 22, 2000",Regular season,Sacramento Monarchs,Phoenix Mercury,ARCO Arena,Sacramento,CA,9480,2000-07-22,9480
2000,"July 22, 2000",Regular season,Cleveland Rockers,Miami Sol,Quicken Loans Arena,Cleveland,OH,11735,2000-07-22,11735
2000,"July 23, 2000",Regular season,Orlando Miracle,Utah Starzz,Amway Arena,Orlando,FL,8048,2000-07-23,8048
2000,"July 23, 2000",Regular season,Minnesota Lynx,Portland Fire,Target Center,Minneapolis,MN,6379,2000-07-23,6379
2000,"July 23, 2000",Regular season,Los Angeles Sparks,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,8482,2000-07-23,8482
2000,"July 23, 2000",Regular season,New York Liberty,Houston Comets,Madison Square Garden,New York,NY,19563,2000-07-23,19563
2000,"July 24, 2000",Regular season,Charlotte Sting,Indiana Fever,Time Warner Cable Arena,Charlotte,NC,5055,2000-07-24,5055
2000,"July 24, 2000",Regular season,Detroit Shock,Portland Fire,Palace of Auburn Hills,Detroit,MI,4648,2000-07-24,4648
2000,"July 24, 2000",Regular season,Phoenix Mercury,Cleveland Rockers,US Airways Center,Phoenix,AZ,9327,2000-07-24,9327
2000,"July 24, 2000",Regular season,Washington Mystics,New York Liberty,Verizon Center,Washington,DC,17988,2000-07-24,17988
2000,"July 25, 2000",Regular season,Los Angeles Sparks,Orlando Miracle,Great Western Forum,Los Angeles,CA,6462,2000-07-25,6462
2000,"July 25, 2000",Regular season,Houston Comets,Seattle Storm,Compaq Center,Houston,TX,11539,2000-07-25,11539
2000,"July 26, 2000",Regular season,Detroit Shock,Miami Sol,Palace of Auburn Hills,Detroit,MI,4480,2000-07-26,4480
2000,"July 26, 2000",Regular season,Utah Starzz,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,7983,2000-07-26,7983
2000,"July 26, 2000",Regular season,Phoenix Mercury,Indiana Fever,US Airways Center,Phoenix,AZ,9487,2000-07-26,9487
2000,"July 26, 2000",Regular season,Portland Fire,Sacramento Monarchs,Moda Center,Portland,OR,7478,2000-07-26,7478
2000,"July 26, 2000",Regular season,Charlotte Sting,Washington Mystics,Time Warner Cable Arena,Charlotte,NC,5249,2000-07-26,5249
2000,"July 27, 2000",Regular season,Los Angeles Sparks,Seattle Storm,Great Western Forum,Los Angeles,CA,6455,2000-07-27,6455
2000,"July 27, 2000",Regular season,Sacramento Monarchs,Orlando Miracle,ARCO Arena,Sacramento,CA,7196,2000-07-27,7196
2000,"July 28, 2000",Regular season,Minnesota Lynx,Miami Sol,Target Center,Minneapolis,MN,8622,2000-07-28,8622
2000,"July 28, 2000",Regular season,Cleveland Rockers,Detroit Shock,Quicken Loans Arena,Cleveland,OH,11041,2000-07-28,11041
2000,"July 28, 2000",Regular season,Seattle Storm,Phoenix Mercury,KeyArena,Seattle,WA,8767,2000-07-28,8767
2000,"July 28, 2000",Regular season,Charlotte Sting,New York Liberty,Time Warner Cable Arena,Charlotte,NC,7485,2000-07-28,7485
2000,"July 28, 2000",Regular season,Portland Fire,Indiana Fever,Moda Center,Portland,OR,8072,2000-07-28,8072
2000,"July 29, 2000",Regular season,Utah Starzz,Indiana Fever,EnergySolutions Arena,Salt Lake City,UT,8803,2000-07-29,8803
2000,"July 29, 2000",Regular season,Detroit Shock,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,6735,2000-07-29,6735
2000,"July 29, 2000",Regular season,Washington Mystics,Minnesota Lynx,Verizon Center,Washington,DC,14416,2000-07-29,14416
2000,"July 29, 2000",Regular season,Houston Comets,Los Angeles Sparks,Compaq Center,Houston,TX,16285,2000-07-29,16285
2000,"July 29, 2000",Regular season,New York Liberty,Cleveland Rockers,Madison Square Garden,New York,NY,16479,2000-07-29,16479
2000,"July 30, 2000",Regular season,Portland Fire,Orlando Miracle,Moda Center,Portland,OR,8634,2000-07-30,8634
2000,"July 30, 2000",Regular season,Phoenix Mercury,Sacramento Monarchs,US Airways Center,Phoenix,AZ,11337,2000-07-30,11337
2000,"July 30, 2000",Regular season,Seattle Storm,Miami Sol,KeyArena,Seattle,WA,8616,2000-07-30,8616
2000,"July 31, 2000",Regular season,Detroit Shock,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,4857,2000-07-31,4857
2000,"July 31, 2000",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7313,2000-07-31,7313
